Entity,Code,Year,Domestic general government health expenditure (% of current health expenditure)
Malaysia,MYS,2011,53.245213
Malaysia,MYS,2012,53.93135
Malaysia,MYS,2013,53.905613
Malaysia,MYS,2014,54.735294
Malaysia,MYS,2015,53.20423
Malaysia,MYS,2016,51.0343
Malaysia,MYS,2017,51.745083
Malaysia,MYS,2018,51.256874
Malaysia,MYS,2019,52.33453
Malaysia,MYS,2020,53.29985
Malaysia,MYS,2021,56.213264
Malaysia,MYS,2022,50.589546
Malaysia,MYS,2023,50.02874
Philippines,PHL,2000,44.3983
Philippines,PHL,2001,40.601624
Philippines,PHL,2002,37.042423
Philippines,PHL,2003,36.215565
Philippines,PHL,2004,35.72317
Philippines,PHL,2005,33.098927
Philippines,PHL,2006,32.091328
Philippines,PHL,2007,31.316708
Philippines,PHL,2008,30.13814
Philippines,PHL,2009,30.649588
Philippines,PHL,2010,31.902424
Philippines,PHL,2011,26.38144
Philippines,PHL,2012,26.286852
Philippines,PHL,2013,26.21488
Philippines,PHL,2014,34.113552
Philippines,PHL,2015,37.673225
Philippines,PHL,2016,37.26403
Philippines,PHL,2017,37.438343
Philippines,PHL,2018,38.856808
Philippines,PHL,2019,40.604218
Philippines,PHL,2020,45.199455
Philippines,PHL,2021,44.703075
Philippines,PHL,2022,45.06712
Philippines,PHL,2023,42.393364
Singapore,SGP,2000,36.3329
Singapore,SGP,2001,27.885048
Singapore,SGP,2002,31.328049
Singapore,SGP,2003,37.074734
Singapore,SGP,2004,32.463787
Singapore,SGP,2005,32.986206
Singapore,SGP,2006,33.92041
Singapore,SGP,2007,33.491455
Singapore,SGP,2008,37.306267
Singapore,SGP,2009,34.92969
Singapore,SGP,2010,35.929085
Singapore,SGP,2011,37.164722
Singapore,SGP,2012,39.347164
Singapore,SGP,2013,41.739902
Singapore,SGP,2014,45.03999
Singapore,SGP,2015,47.078285
Singapore,SGP,2016,47.3823
Singapore,SGP,2017,48.36637
Singapore,SGP,2018,50.120037
Singapore,SGP,2019,51.83864
Singapore,SGP,2020,59.9177
Singapore,SGP,2021,60.85343
Singapore,SGP,2022,60.11515
Singapore,SGP,2023,58.460567
Thailand,THA,2000,55.188343
Thailand,THA,2001,55.014725
Thailand,THA,2002,62.265102
Thailand,THA,2003,63.07396
Thailand,THA,2004,64.115974
Thailand,THA,2005,63.71009
Thailand,THA,2006,71.95246
Thailand,THA,2007,75.60999
Thailand,THA,2008,75.36881
Thailand,THA,2009,73.128746
Thailand,THA,2010,73.7725
Thailand,THA,2011,76.42584
Thailand,THA,2012,76.079636
Thailand,THA,2013,75.95277
Thailand,THA,2014,75.68395
Thailand,THA,2015,71.35248
Thailand,THA,2016,72.38879
Thailand,THA,2017,72.038185
Thailand,THA,2018,70.865654
Thailand,THA,2019,71.65908
Thailand,THA,2020,70.36411
Thailand,THA,2021,70.36208
Thailand,THA,2022,72.697556
Thailand,THA,2023,77.88263
Vietnam,VNM,2000,41.064404
Vietnam,VNM,2001,32.78746
Vietnam,VNM,2002,43.97587
Vietnam,VNM,2003,40.314327
Vietnam,VNM,2004,41.322796
Vietnam,VNM,2005,41.407635
Vietnam,VNM,2006,39.393394
Vietnam,VNM,2007,38.22849
Vietnam,VNM,2008,39.817604
Vietnam,VNM,2009,38.16084
Vietnam,VNM,2010,40.25132
Vietnam,VNM,2011,38.854664
Vietnam,VNM,2012,44.640953
Vietnam,VNM,2013,45.236626
Vietnam,VNM,2014,44.25668
Vietnam,VNM,2015,43.580788
Vietnam,VNM,2016,43.807163
Vietnam,VNM,2017,43.545895
Vietnam,VNM,2018,41.62821
Vietnam,VNM,2019,40.61999
Vietnam,VNM,2020,41.333443
Vietnam,VNM,2021,43.19808
Vietnam,VNM,2022,43.423733
Vietnam,VNM,2023,44.303013
